date,month,year,country,customer_name,group_1,group_2,packaging,rm_size,soup,order_unit,order_cups,cups_per_unit,production
23,02,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
23,02,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
26,02,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,127,4572,36.0,
19,02,2024,.7-11,ซีพีเอฟ เทรดดิ้ง,E+Wonton+หมาล่า,Cooked Wonton,143g*24,SS,หมาล่า,1805,43320,24.0,
22,02,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,168,1344,8.0,
23,02,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,490,3920,8.0,
28,02,2024,SG,CPI Singapore,Wonton ND+V,Cooked Wonton,219g*24,HC,ซุปซอง 10g.,300,7200,24.0,
26,02,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,665,23940,36.0,
26,02,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
26,02,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
26,02,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,289,10404,36.0,
23,02,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,719,5752,8.0,
26,02,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,503,18108,36.0,
26,02,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
26,02,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
01,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
01,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,772,27792,36.0,
23,02,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,199,1592,8.0,
28,02,2024,SG,CPI SINGAPORE,R-Wonton (Fried Sheet),Raw Wonton,600g*10inner,S,,200,2000,10.0,
26,02,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*8,BK,Regular,70.25,562,8.0,
05,03,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*8,BK,Regular,1400,19800,14.142857142857142,
12,03,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*8,BK,Regular,700,19800,28.285714285714285,
05,03,2024,Malay,CPM Malaysia,Wonton,Cooked Wonton,145g*24,M,Regular,900,21600,24.0,
05,03,2024,Malay,CPM Malaysia,Wonton TY,Cooked Wonton,115g*24,M,TYTB3C 30G,800,19200,24.0,
